,0,1,2,3
0,Tennessee Valley Authority,14-Nov-2023,30-Sep-2023,TVC.N
1,Pineapple Energy Inc,14-Apr-2023,31-Dec-2022,PEGY.OQ
2,Orbital Infrastructure Group Inc,07-Apr-2023,31-Dec-2022,OIGBQ.PK
3,PG&E Recovery Funding LLC,31-Mar-2023,31-Dec-2022,—
4,Greenbacker Renewable Energy Company LLC,31-Mar-2023,31-Dec-2022,—
5,AEP Texas Restoration Funding LLC,29-Mar-2023,31-Dec-2022,—
6,Via Renewables Inc,29-Mar-2023,31-Dec-2022,VIA.OQ
7,SCE Recovery Funding LLC,29-Mar-2023,31-Dec-2022,—
8,PSNH Funding 3 LLC,29-Mar-2023,31-Dec-2022,—
